"","valorTotal","cnpj","xLgr","timestamp","infCpl","vToTrib","date","week_day"
"1","24.9","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:01:54.000Z","Mesa 2","2.53",2016-01-05,"Tuesday"
"2","92.53","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:03:52.000Z","Mesa 1","7.71",2016-01-05,"Tuesday"
"3","57.86","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:16:40.000Z","Mesa 5","2.43",2016-01-05,"Tuesday"
"4","34.97","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:17:50.000Z","Mesa 3","1.47",2016-01-05,"Tuesday"
"5","46.23","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:18:35.000Z","Mesa 4","1.94",2016-01-05,"Tuesday"
"6","32.76","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:20:00.000Z","Mesa 6","3.29",2016-01-05,"Tuesday"
"7","57.11","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:22:16.000Z","Mesa 7","5.79",2016-01-05,"Tuesday"
"8","36.19","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:22:57.000Z","Mesa 9","3.43",2016-01-05,"Tuesday"
"9","32.37","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:23:25.000Z","Mesa 10","1.36",2016-01-05,"Tuesday"
"10","119.47","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:30:26.000Z","Mesa 11","6.9",2016-01-05,"Tuesday"
"11","37.04","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:33:30.000Z","Mesa 15","1.56",2016-01-05,"Tuesday"
"12","32.41","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:34:09.000Z","Mesa 14","1.79",2016-01-05,"Tuesday"
"13","34.17","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:35:11.000Z","Mesa 16","2.79",2016-01-05,"Tuesday"
"14","36.46","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:35:45.000Z","Mesa 17","1.53",2016-01-05,"Tuesday"
"15","27.13","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:38:39.000Z","Mesa 33","3.05",2016-01-05,"Tuesday"
"16","26.65","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:40:43.000Z","Mesa 26","1.55",2016-01-05,"Tuesday"
"17","30.59","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:43:22.000Z","Mesa 18","1.29",2016-01-05,"Tuesday"
"18","33.99","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:43:58.000Z","Mesa 19","3.34",2016-01-05,"Tuesday"
"19","21.71","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:45:28.000Z","Mesa 23","1.34",2016-01-05,"Tuesday"
"20","32.35","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:46:02.000Z","Mesa 24","3.27",2016-01-05,"Tuesday"
"21","23.77","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:46:49.000Z","Mesa 22","1.43",2016-01-05,"Tuesday"
"22","23.46","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:47:35.000Z","Mesa 47","0.99",2016-01-05,"Tuesday"
"23","62.36","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:48:19.000Z","Mesa 51","4.53",2016-01-05,"Tuesday"
"24","29.97","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:49:12.000Z","Mesa 40","2.74",2016-01-05,"Tuesday"
"25","47.3","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:52:50.000Z","Mesa 71","3.9",2016-01-05,"Tuesday"
"26","39.13","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:55:15.000Z","Mesa 68","2.07",2016-01-05,"Tuesday"
"27","34.27","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:56:10.000Z","Mesa 21","3.35",2016-01-05,"Tuesday"
"28","22.22","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T12:57:05.000Z","Mesa 60","0.93",2016-01-05,"Tuesday"
"29","39.17","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:00:18.000Z","Mesa 37","3.13",2016-01-05,"Tuesday"
"30","27.16","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:06:13.000Z","Mesa 61","1.14",2016-01-05,"Tuesday"
"31","45.01","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:06:38.000Z","Mesa 59","5.16",2016-01-05,"Tuesday"
"32","44.83","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:07:07.000Z","Mesa 56","3.79",2016-01-05,"Tuesday"
"33","62.08","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:08:13.000Z","Mesa 72","4.09",2016-01-05,"Tuesday"
"34","22.5","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:10:26.000Z","Mesa 75","0.95",2016-01-05,"Tuesday"
"35","14.26","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:11:24.000Z","Mesa 53","0.6",2016-01-05,"Tuesday"
"36","27.98","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:12:13.000Z","Mesa 83","1.18",2016-01-05,"Tuesday"
"37","25.38","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:12:51.000Z","Mesa 90","1.07",2016-01-05,"Tuesday"
"38","16.46","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:13:11.000Z","Mesa 28","0.69",2016-01-05,"Tuesday"
"39","27.13","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:13:19.000Z","Mesa 30","3.05",2016-01-05,"Tuesday"
"40","32.1","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:13:28.000Z","Mesa 35","1.35",2016-01-05,"Tuesday"
"41","94.94","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:14:24.000Z","Mesa 63","7.38",2016-01-05,"Tuesday"
"42","35.04","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:15:06.000Z","Mesa 36","2.96",2016-01-05,"Tuesday"
"43","20.58","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:15:54.000Z","Mesa 57","0.86",2016-01-05,"Tuesday"
"44","34.54","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:16:04.000Z","Mesa 58","3.36",2016-01-05,"Tuesday"
"45","67.53","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:16:40.000Z","Mesa 66","6.23",2016-01-05,"Tuesday"
"46","72.13","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:16:51.000Z","Mesa 43","4.94",2016-01-05,"Tuesday"
"47","32.51","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:17:02.000Z","Mesa 41","1.37",2016-01-05,"Tuesday"
"48","30.87","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:17:13.000Z","Mesa 29","1.3",2016-01-05,"Tuesday"
"49","28.88","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:17:29.000Z","Mesa 38","2.7",2016-01-05,"Tuesday"
"50","28.09","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:24:31.000Z","Mesa 87","3.09",2016-01-05,"Tuesday"
"51","21.37","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:25:08.000Z","Mesa 88","0.9",2016-01-05,"Tuesday"
"52","24.39","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:26:17.000Z","Mesa 82","1.03",2016-01-05,"Tuesday"
"53","23.15","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:27:34.000Z","Mesa 86","2.88",2016-01-05,"Tuesday"
"54","34.4","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:28:01.000Z","Mesa 84","3.36",2016-01-05,"Tuesday"
"55","37.29","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:28:38.000Z","Mesa 85","3.48",2016-01-05,"Tuesday"
"56","64.11","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:32:21.000Z","Mesa 92","2.7",2016-01-05,"Tuesday"
"57","20.71","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:33:44.000Z","Mesa 81","0.87",2016-01-05,"Tuesday"
"58","31.32","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:34:39.000Z","Mesa 80","2.8",2016-01-05,"Tuesday"
"59","46.0","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:35:19.000Z","Mesa 76","5.33",2016-01-05,"Tuesday"
"60","27.54","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:35:46.000Z","Mesa 77","3.07",2016-01-05,"Tuesday"
"61","37.36","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:36:28.000Z","Mesa 78","4.96",2016-01-05,"Tuesday"
